Amount;Location;New Activity;Activity name;Activity_code;Reference_product;Unit;Activity_origin;Technosphere;Database
NA;PT;Yes;Constructing materials_PEM_2020;hy_2020_PEM_materials;materials_PEM_2020;Item;NA;Yes;NA
36000;GLO;No;market for steel, low-alloyed;67607aa7b3530fe7fbd3a6de8ae58527;No;kg;Constructing materials_PEM_2020;Yes;CUTOFF
1600;GLO;No;market for reinforcing steel;e9449b977358d4978e600de7c8d63bc7;No;kg;Constructing materials_PEM_2020;Yes;CUTOFF
530;GLO;No;market for aluminium, cast alloy;dc45b646e3d62292ae85e6acdf4c1f93;No;kg;Constructing materials_PEM_2020;Yes;CUTOFF
0.23;GLO;No;market for platinum;17f269f9268b423de2f66cac2baa3bff;No;kg;Constructing materials_PEM_2020;Yes;CUTOFF
2.1;GLO;No;market for graphite;c4e77656734f018266371189c95d4b86;No;kg;Constructing materials_PEM_2020;Yes;CUTOFF
0.76;GLO;No;market for titanium;434d2ddf77e4df70843f61605ff8486a;No;kg;Constructing materials_PEM_2020;Yes;CUTOFF
5.8;ReR;No;market for tetrafluoroethylene;209119d2367a81e126366fb500b0f2a5;No;kg;Constructing materials_PEM_2020;Yes;CUTOFF
1.1;GLO;No;market for solvent, organic;74b8bc46a65104a5910a4845df874574;No;kg;Constructing materials_PEM_2020;Yes;CUTOFF
260;GLO;No;market for cast iron;b8dc79d67add1764a3fa023c5dc43985;No;kg;Constructing materials_PEM_2020;Yes;CUTOFF
0.65;GLO;No;market for copper cake;18857d48daf543124335c640c23b2242;No;kg;Constructing materials_PEM_2020;Yes;CUTOFF
1.3;GLO;No;market for silicon, metallurgical grade;4c0d1e7b027db1acc4ebfe470f76f7cb;No;kg;Constructing materials_PEM_2020;Yes;CUTOFF
NA;PT;Yes;Operating_resources_PEM2020;hy_2020_PEM_RESOURCES;materials_PEM_2020;Item;NA;Yes;NA
50;PT;No;Future market for electricity;f_Elec_SEEDS;No;kWh;Operating_resources_PEM2020;Yes;this_is_a_test
19;RER;No;market for water, deionised;150949a42a0ff10542b13bf1ecfbfb29;No;kg;Operating_resources_PEM2020;Yes;CUTOFF
NA;PT;Yes;Hydrogen_production_PEM_2020;hy_2020_PEM_RESOURCES;materials_PEM_2020;1kg hydrogen;NA;Yes;NA
2.60E-07;PT;No;Constructing materials_PEM_2020;hy_2020_PEM_materials;Hydrogen_production_PEM_2020;;Hydrogen_production_PEM_2020;Yes;this_is_a_test
1;PT;No;Operating_resources_PEM2020;hy_2020_PEM_RESOURCES;Hydrogen_production_PEM_2020;;Hydrogen_production_PEM_2020;Yes;this_is_a_test
