Amount;Location;Activity name;Activity_code;Reference_product;Unit;Activity_origin;Technosphere;Database
NA;PT;Future market for electricity;f_Elec_SEEDS;electricity production, 2050 in Portugal;kwh;NA;Yes;this_is_a_test
1;PT;wind_onshore;530d547cc3b41e6c1ffcdd8ec7b6086b;NA;kwh;Future market for electricity;Yes;CUTOFF
1;PT;wind_offshore;f60ae7433a185071c8c1ea48df57ddee;NA;kwh;Future market for electricity;Yes;CUTOFF
1;PT;hydro_run_of_river;ee22a241360095cd55e1eb1b2c62c2b8;NA;kwh;Future market for electricity;Yes;CUTOFF
1;PT;hydro_reservoir;646364e0589592b04856bb49250b855a;NA;kwh;Future market for electricity;Yes;CUTOFF
1;PT;ccgt;b92c013747a941dd4eff9ef94ddd6d9b;NA;kwh;Future market for electricity;Yes;CUTOFF
1;PT;chp_biofuel_extraction;46821ba9ba1cbc9c4140befc5b5a38df;NA;kwh;Future market for electricity;Yes;CUTOFF
1;PT;open_field_pv;32caeee931f794e1df3c8a16a2b3e3d7;NA;kwh;Future market for electricity;Yes;CUTOFF
1;PT;existing_wind;530d547cc3b41e6c1ffcdd8ec7b6086b;NA;kwh;Future market for electricity;Yes;CUTOFF
1;PT;existing_pv;32caeee931f794e1df3c8a16a2b3e3d7;NA;kwh;Future market for electricity;Yes;CUTOFF
1;PT;roof_mounted_pv;c7d52ffde73e9b1f4f1c45d68d8ba2a6;NA;kwh;Future market for electricity;Yes;CUTOFF
1;PT;chp_wte_back_pressure;eb4763f42fdea68db83d49135539bcf8;NA;kwh;Future market for electricity;Yes;CUTOFF
1;PT;chp_methane_extraction;79aa2a5fabdbf29b9aa415602f4a9a59;NA;kwh;Future market for electricity;Yes;CUTOFF
1;PT;waste_supply;eb4763f42fdea68db83d49135539bcf8;NA;kwh;Future market for electricity;Yes;CUTOFF
1;PT;chp_hydrogen;CHP_hydrogen_2050;NA;kwh;Future market for electricity;Yes;this_is_a_test
