Amount;Origin;New Activity;Activity name;Product;Final_Product;Unit;Activity_origin;Code;Technosphere;Database
NA;NA;Yes;Contructing materials;NA;No;NA;NA;hy_1;Yes;CUTOFF
2;GLO;No;market for nickel, class 1;bdb000501800e87c530429d113fb4ade;No;kg/kW;Contructing materials;NA;Yes;CUTOFF
0.009;GLO;No;market for acetic anhydride;55a12dd78bf849b7ecc207cc9ca23727;No;kg/kW;Contructing materials;NA;Yes;CUTOFF
0.0267;GLO;No;market for acrylonitrile-butadiene-styrene copolymer;f08ed95bf92b86cec2e66e399b8f4795;No;kg/kW;Contructing materials;NA;Yes;CUTOFF
0.075;GLO;No;market for aluminium, cast alloy;dc45b646e3d62292ae85e6acdf4c1f93;No;kg/kW;Contructing materials;NA;Yes;CUTOFF
0.0081;GLO;No;market for aniline;bc6447dabc7d760fd4574fa545b79447;No;kg/kW;Contructing materials;NA;Yes;CUTOFF
0.13;GLO;No;market for calendering, rigid sheets;cf71deae3cc5a14fd75031aa4b7f9105;No;kg/kW;Contructing materials;NA;Yes;CUTOFF
0.025;European market;No;market for carbon monoxide;c6279e7065bfcb4faf17f1922152ba20;No;kg/kW;Contructing materials;NA;Yes;CUTOFF
0.163;Global market;No;market for chromium;da9753836d680dc113c88f94c725da11;No;kg/kW;Contructing materials;NA;Yes;CUTOFF
0.013;Global market;No;market for tetrafluoroethylene;209119d2367a81e126366fb500b0f2a5;No;kg/kW;Contructing materials;NA;Yes;CUTOFF
30;Global market;No;market for steel, unalloyed;69eb25eaae7576f729a84fe002f75949;No;kg/kW;Contructing materials;NA;Yes;CUTOFF
0.33;Global market;No;market for copper cake;18857d48daf543124335c640c23b2242;No;kg/kW;Contructing materials;NA;Yes;CUTOFF
6;PT;No;market for electricity;f44aa84c22af00eb9a286714b45f50b4;No;kg/kW;Contructing materials;NA;Yes;CUTOFF
0.0717;Global market;No;market for graphite;c4e77656734f018266371189c95d4b86;No;kg/kW;Contructing materials;NA;Yes;CUTOFF
0.0217;European market;No;market for hydrochloric acid, without water, in 30% solution state;51f3d92ffbe7ba0d2744a9738e727ca7;No;kg/kW;Contructing materials;NA;Yes;CUTOFF
2.67E-05;RER;No;market for industrial machine, heavy, unspecified;628968ad57d65854bf68ac3b1b4df03e;No;kg/kW;Contructing materials;NA;Yes;CUTOFF
8.05E-05;Global market;No;market for lubricating oil;49cf76ef64df4af620a10f6cc5f67396;No;kg/kW;Contructing materials;NA;Yes;CUTOFF
2.17E-01;Global market;No;market for N-methyl-2-pyrrolidone;082caa7d65ac330a27f63b1ffc4c2639;No;kg/kW;Contructing materials;NA;Yes;CUTOFF
5.50E-03;RER w/o RU;No;market for nitric acid, without water, in 50% solution state;b776a87d8fc9584e2069d69c003a7d78;No;kg/kW;Contructing materials;NA;Yes;CUTOFF
1.30E-01;Global market;No;market for plaster mixing;afd5b9cb8efdc2abda4421f104a82b26;No;kg/kW;Contructing materials;NA;Yes;CUTOFF
5.67E-02;Global market;No;market for polyphenylene sulfide;7371619d39d650372d46692968f33e3c;No;kg/kW;Contructing materials;NA;Yes;CUTOFF
4.33E-02;Global market;No;market for polysulfone;7973ec2c9d239b5b3cbd3d605e76087e;No;kg/kW;Contructing materials;NA;Yes;CUTOFF
1.47E-02;Global market;No;market for purified terephthalic acid;d2a4010fa635c8939f326c91cf7d6ce6;No;kg/kW;Contructing materials;NA;Yes;CUTOFF
1.83E+00;Spain;No;market for water, decarbonised;5fbb8273d50c2acad228f9c99d2b06f9;No;kg/kW;Contructing materials;NA;Yes;CUTOFF
1.43E+01;Europe without Switzerland;No;market for water, deionised;150949a42a0ff10542b13bf1ecfbfb29;No;kg/kW;Contructing materials;NA;Yes;CUTOFF
1.83E-01;Global market;No;market for zirconium oxide;e6e16e75bdc55cff1911801b71bd6477;No;kg/kW;Contructing materials;NA;Yes;CUTOFF
NA;NA;Yes;Operating resources;NA;No;NA;NA;hy_2;Yes;CUTOFF
50;PT;No;market for electricity;f44aa84c22af00eb9a286714b45f50b4;No;kWh/kg H2;Operating resources;NA;Yes;CUTOFF
10;Europe without Switzerland;No;market for water, deionised;150949a42a0ff10542b13bf1ecfbfb29;No;kg/kgH2;Operating resources;NA;Yes;CUTOFF
0.0025;GLO;No;market for potassium hydroxide;60eaeaa8296325a5136ede2d4d947e34;No;kg/kgH2;Operating resources;NA;Yes;CUTOFF
NA;NA;Yes;AE-1GW 2050 (Electrolysis plant);NA;No;NA;NA;hy_AE_plant_2050;Yes;CUTOFF
1;NA;No;Contructing materials;hy_1;No;item;AE-1GW 2050 (Electrolysis plant);NA;Yes;this_is_a_test
1;NA;No;Operating resources;hy_2;No;item;AE-1GW 2050 (Electrolysis plant);NA;Yes;this_is_a_test
